published,category,kicker,title,description,matched_groups,matched_terms,url,local_digest
2024-04-10,Computer Science,Turing Award,"Avi Wigderson, Complexity Theory Pioneer, Wins Turing Award","The prolific researcher found deep connections between randomness and computation and spent a career influencing cryptographers, complexity researchers and more.",networks_graphs_connectivity;complex_systems_emergence;randomness_statistical_physics,complex;complexity;connect;graph;random;randomness,https://www.quantamagazine.org/avi-wigderson-complexity-theory-pioneer-wins-turing-award-20240410/,
2024-04-05,Physics,astronomy,How the Ancient Art of Eclipse Prediction Became an Exact Science,"The timing of the total eclipse on April 8, 2024, will be known to within a second, thousands of years after fearful humans first started trying to anticipate these cosmic events.",ai_prediction_representation,predict;prediction,https://www.quantamagazine.org/how-the-ancient-art-of-eclipse-prediction-became-an-exact-science-20240405/,
2024-04-02,Biology,neuroscience,Overexposure Distorted the Science of Mirror Neurons,"After a decade out of the spotlight, the brain cells once alleged to explain empathy, autism and theory of mind are being refined and redefined.",collective_biological_systems,cell;cells,https://www.quantamagazine.org/overexposure-distorted-the-science-of-mirror-neurons-20240402/,
2024-03-28,Biology,neuroscience,The Social Benefits of Getting Our Brains in Sync,"Our brain waves can align when we work and play closely together. The phenomenon, known as interbrain synchrony, suggests that collaboration is biological.",flow_transport_waves,wave;waves,https://www.quantamagazine.org/the-social-benefits-of-getting-our-brains-in-sync-20240328/,
2024-03-28,Biology,The Joy of Why,How Is Flocking Like Computing?,"Birds flock. Locusts swarm. Fish school. From chaotic assemblies of life, order somehow emerges. In this episode, co-host Steven Strogatz interviews the evolutionary ecologist Iain Couzin about how and why collective behaviors arise.",complex_systems_emergence;collective_biological_systems,collective;evolution;flocking;order;swarm,https://www.quantamagazine.org/how-is-flocking-like-computing-20240328/,
2024-03-27,Computer Science,Q&A,The Researcher Who Explores Computation by Conjuring New Worlds,"Russell Impagliazzo studies hard problems, the limits of cryptography, the nature of randomness and more.",networks_graphs_connectivity;randomness_statistical_physics,graph;random;randomness,https://www.quantamagazine.org/the-researcher-who-explores-computation-by-conjuring-new-worlds-20240327/,
2024-03-22,Mathematics,Quantized Academy,Math That Connects Where We’re Going to Where We’ve Been,Recursion builds bridges between ideas from across different math classes and illustrates the power of creative mathematical thinking.,networks_graphs_connectivity,connect,https://www.quantamagazine.org/math-that-connects-where-were-going-to-where-weve-been-20240322/,
2024-03-21,Uncategorized,natural language processing,How Chain-of-Thought Reasoning Helps Neural Networks Compute,Large language models do better at solving problems when they show their work. Researchers are beginning to understand why.,networks_graphs_connectivity;ai_prediction_representation,model;models;network;networks;neural network;neural networks,https://www.quantamagazine.org/how-chain-of-thought-reasoning-helps-neural-networks-compute-20240321/,
2024-03-20,Mathematics,Abel Prize,Michel Talagrand Wins Abel Prize for Work Wrangling Randomness,The French mathematician spent decades developing a set of tools now widely used for taming random processes.,randomness_statistical_physics,random;randomness,https://www.quantamagazine.org/michel-talagrand-wins-abel-prize-for-work-wrangling-randomness-20240320/,
2024-03-18,Biology,neuroscience,Brain’s ‘Background Noise’ May Explain Value of Shock Therapy,"Electroconvulsive therapy is highly effective in treating major depressive disorder, but no one knows why it works. New research suggests it may restore balance between excitation and inhibition in the brain.",complex_systems_emergence,disorder;order,https://www.quantamagazine.org/brains-background-noise-may-explain-value-of-shock-therapy-20240318/,
2024-03-11,Biology,neuroscience,Tiny Tweaks to Neurons Can Rewire Animal Motion,"Altering a protein in the neurons that coordinate a rattlesnake’s movement made a slow slither neuron more like a speedy rattle neuron, showing one way evolution can generate new ways of moving.",collective_biological_systems,evolution,https://www.quantamagazine.org/tiny-tweaks-to-neurons-can-rewire-animal-motion-20240311/,
2024-03-06,Biology,evolution,Cellular Self-Destruction May Be Ancient. But Why?,"How did cells evolve a process to end their own lives? Recent research suggests that apoptosis, a form of programmed cell death, first arose billions of years ago in bacteria with a primitive sociality.",collective_biological_systems,bacteria;cell;cells;evolution,https://www.quantamagazine.org/cellular-self-destruction-may-be-ancient-but-why-20240306/,
2024-03-05,Mathematics,number theory,Elliptic Curve ‘Murmurations’ Found With AI Take Flight,Mathematicians are working to fully explain unusual behaviors uncovered using artificial intelligence.,ai_prediction_representation,artificial intelligence,https://www.quantamagazine.org/elliptic-curve-murmurations-found-with-ai-take-flight-20240305/,
2024-03-04,Physics,cosmology,Fresh X-Rays Reveal a Universe as Clumpy as Cosmology Predicts,"By mapping the largest structures in the universe in X-rays, cosmologists have found striking agreement with their standard theoretical model of how the universe evolves.",ai_prediction_representation,model;predict,https://www.quantamagazine.org/fresh-x-rays-reveal-a-universe-as-clumpy-as-cosmology-predicts-20240304/,
2024-02-29,Biology,evolution,Mollusk Eyes Reveal How Future Evolution Depends on the Past,"The visual systems of an obscure group of mollusks provide a rare natural example of path-dependent evolution, in which a critical fork in the creatures’ past determined their evolutionary futures.",complex_systems_emergence;collective_biological_systems,critical;evolution,https://www.quantamagazine.org/mollusk-eyes-reveal-how-future-evolution-depends-on-the-past-20240229/,
2024-02-29,Uncategorized,The Joy of Why,What Is the Nature of Time?,"Time is all around us: in the language we use, in the memories we revisit and in our predictions of the future. But what exactly is it? The physicist and Nobel laureate Frank Wilczek joins Steve Strogatz to discuss the fundamental hallmarks of time.",ai_prediction_representation,predict;prediction,https://www.quantamagazine.org/what-is-the-nature-of-time-20240229/,
2024-02-28,Computer Science,natural language processing,How Selective Forgetting Can Help AI Learn Better,Erasing key information during training results in machine learning models that can learn new languages faster and more easily.,ai_prediction_representation,machine learning;model;models,https://www.quantamagazine.org/how-selective-forgetting-can-help-ai-learn-better-20240228/,
2024-02-27,Mathematics,dynamical systems,‘Entropy Bagels’ and Other Complex Structures Emerge From Simple Rules,"Simple rules in simple settings continue to puzzle mathematicians, even as they devise intricate tools to analyze them.",complex_systems_emergence;randomness_statistical_physics,complex;entropy,https://www.quantamagazine.org/entropy-bagels-and-other-complex-structures-emerge-from-simple-rules-20240227/,
2024-02-26,Physics,quantum physics,A Quantum Trick Implied Eternal Stability. Now the Idea May Be Falling Apart.,"A series of advances seemed to promise the impossible: the existence of quantum states that would never, ever fall into disarray. But physicists are now discovering that the pull of disorder may not be so easily overcome.",complex_systems_emergence,disorder;order,https://www.quantamagazine.org/a-quantum-trick-implied-eternal-stability-now-its-falling-apart-20240226/,
2024-02-21,Biology,Q&A,A Multitalented Scientist Seeks the Origins of Multicellularity,The pathbreaking geneticist Cassandra Extavour pursues the secrets of multicellular life while balancing careers in both science and singing.,collective_biological_systems,cell,https://www.quantamagazine.org/a-multitalented-scientist-seeks-the-origins-of-multicellularity-20240221/,
2024-02-20,Uncategorized,geophysics,Inside Scientists’ Life-Saving Prediction of the Iceland Eruption,The Reykjanes Peninsula has entered a new volcanic era. Innovative efforts to map and monitor the subterranean magma are saving lives.,flow_transport_waves;ai_prediction_representation,geophysics;predict;prediction,https://www.quantamagazine.org/inside-scientists-life-saving-prediction-of-the-iceland-eruption-20240220/,
2024-02-15,Biology,The Joy of Why,How Did Altruism Evolve?,"If evolution favors the survival of the fittest, where did the impulse to help others come from? Host Janna Levin speaks with Stephanie Preston, a neuropsychologist who studies the biology of altruism.",collective_biological_systems,evolution,https://www.quantamagazine.org/how-did-altruism-evolve-20240215/,
2024-02-13,Computer Science,artificial intelligence,How Quickly Do Large Language Models Learn Unexpected Skills?,"A new study suggests that so-called emergent abilities actually develop gradually and predictably, depending on how you measure them.",complex_systems_emergence;ai_prediction_representation,artificial intelligence;emergent;model;models;predict,https://www.quantamagazine.org/how-quickly-do-large-language-models-learn-unexpected-skills-20240213/,
2024-02-12,Computer Science,Q&A,"To See Black Holes in Stunning Detail, She Uses ‘Echoes’ Like a Bat","The astrophysicist Erin Kara measures time lags in black holes’ X-ray glows, which reveal the complexity of the objects’ closest surroundings.",complex_systems_emergence,complex;complexity,https://www.quantamagazine.org/to-see-black-holes-in-detail-she-uses-echoes-like-a-bat-20240212/,
2024-02-07,Mathematics,probability,Maze Proof Establishes a ‘Backbone’ for Statistical Mechanics,Four mathematicians have estimated the chances that there’s a clear path through a random maze.,randomness_statistical_physics,probability;random,https://www.quantamagazine.org/maze-proof-establishes-a-backbone-for-statistical-mechanics-20240207/,
2024-02-05,Biology,neuroscience,What Your Brain Is Doing When You’re Not Doing Anything,"When your mind is wandering, your brain’s “default mode” network is active. Its discovery 20 years ago inspired a raft of research into networks of brain regions and how they interact with each other.",networks_graphs_connectivity,network;networks,https://www.quantamagazine.org/what-your-brain-is-doing-when-youre-not-doing-anything-20240205/,
2024-02-01,Physics,cosmology,"In a ‘Dark Dimension,’ Physicists Search for the Universe’s Missing Matter",An idea derived from string theory suggests that dark matter is hiding in a (relatively) large extra dimension. The theory makes testable predictions that physicists are investigating now.,ai_prediction_representation,predict;prediction,https://www.quantamagazine.org/in-a-dark-dimension-physicists-search-for-missing-matter-20240201/,
2024-01-31,Biology,perception,Plants Find Light Using Gaps Between Their Cells,"A mutant seedling revealed how plant tissues scatter incoming light, allowing plants to sense its direction and move toward it.",collective_biological_systems,ants;cell;cells,https://www.quantamagazine.org/plants-find-light-using-gaps-between-their-cells-20240131/,
2024-01-26,Mathematics,complex systems,"The Quest to Decode the Mandelbrot Set, Math’s Famed Fractal","For decades, a small group of mathematicians has patiently unraveled the mystery of what was once math’s most popular picture. Their story shows how technology transforms even the most abstract mathematical landscapes.",complex_systems_emergence,complex,https://www.quantamagazine.org/the-quest-to-decode-the-mandelbrot-set-maths-famed-fractal-20240126/,
2024-01-25,Uncategorized,The Joy of Why,"Why Locusts Swarm, Humans Do Good and Time Marches On","The Joy of Why podcast returns for a third season, with two co-hosts, 24 brilliant guests and 24 all-new episodes.",collective_biological_systems,swarm,https://www.quantamagazine.org/janna-levin-why-im-co-hosting-the-joy-of-why-podcast-20240125/,
2024-01-22,Computer Science,artificial intelligence,New Theory Suggests Chatbots Can Understand Text,"Far from being “stochastic parrots,” the biggest large language models seem to learn enough skills to understand the words they’re processing.",randomness_statistical_physics;ai_prediction_representation,artificial intelligence;model;models;stochastic,https://www.quantamagazine.org/new-theory-suggests-chatbots-can-understand-text-20240122/,
2024-01-18,Mathematics,games,Math’s ‘Game of Life’ Reveals Long-Sought Repeating Patterns,"John Conway’s Game of Life, a famous cellular automaton, has been found to have periodic patterns of every possible length.",collective_biological_systems,cell,https://www.quantamagazine.org/maths-game-of-life-reveals-long-sought-repeating-patterns-20240118/,
2024-01-17,Biology,microbiology,The Quest for Simple Rules to Build a Microbial Community,Microbiologists are searching for a universal theory of how bacteria form communities based not on their species but on the roles they play.,collective_biological_systems,bacteria;microbial,https://www.quantamagazine.org/the-quest-for-simple-rules-to-build-a-microbial-community-20240117/,
2024-01-16,Computer Science,machine learning,How to Guarantee the Safety of Autonomous Vehicles,"As computer-driven cars and planes become more common, the key to preventing accidents, researchers show, is to know what you don’t know.",ai_prediction_representation,machine learning,https://www.quantamagazine.org/how-to-guarantee-the-safety-of-autonomous-vehicles-20240116/,
2024-01-08,Biology,aging,Cells Across the Body Talk to Each Other About Aging,"Biologists discovered that mitochondria in different tissues talk to each other to repair injured cells. When their signal fails, the biological clock starts winding down.",collective_biological_systems,cell;cells,https://www.quantamagazine.org/cells-across-the-body-talk-to-each-other-about-aging-20240108/,
2024-01-02,Biology,evolution,Evolution: Fast or Slow? Lizards Help Resolve a Paradox.,Why does natural selection appear to happen slowly on long timescales and quickly on short ones? A multigenerational study of four lizard species addresses biology’s “paradox of stasis.”,collective_biological_systems,evolution,https://www.quantamagazine.org/evolution-fast-or-slow-lizards-help-resolve-a-paradox-20240102/,
2023-12-20,Computer Science,2023 in Review,The Year in Computer Science,"Artificial intelligence learned how to generate text and art better than ever before, while computer scientists developed algorithms that solved long-standing problems.",ai_prediction_representation,artificial intelligence,https://www.quantamagazine.org/the-biggest-discoveries-in-computer-science-in-2023-20231220/,
2023-12-18,Mathematics,graph theory,A Close-Up View Reveals the ‘Melting’ Point of an Infinite Graph,"Just as ice melts to water, graphs undergo phase transitions. Two mathematicians showed that they can pinpoint such transitions by examining only local structure.",networks_graphs_connectivity;complex_systems_emergence,graph;graphs;phase transition,https://www.quantamagazine.org/a-close-up-view-reveals-the-melting-point-of-an-infinite-graph-20231218/,
2023-12-14,Computer Science,computer security,Celebrated Cryptography Algorithm Gets an Upgrade,"Two researchers have improved a well-known technique for lattice basis reduction, opening up new avenues for practical experiments in cryptography and mathematics.",networks_graphs_connectivity,graph,https://www.quantamagazine.org/celebrated-cryptography-algorithm-gets-an-upgrade-20231214/,
2023-12-13,Biology,neuroscience,New Cell Atlases Reveal Untold Variety in the Brain and Beyond,"Recent efforts to map every cell in the human body have researchers floored by unfathomable diversity, with many thousands of subtly different types of cells in the human brain alone.",collective_biological_systems,cell;cells,https://www.quantamagazine.org/new-cell-atlases-reveal-untold-variety-in-the-brain-and-beyond-20231213/,
2023-12-07,Biology,Q&A,She Studies How Addiction Hijacks Learning in the Brain,Erin Calipari works to understand how drugs like opioids and cocaine alter learning circuits and neurochemistry in one of the country's epicenters of substance use disorder and addiction.,complex_systems_emergence,disorder;order,https://www.quantamagazine.org/she-studies-how-addiction-hijacks-learning-in-the-brain-20231207/,
2023-12-06,Mathematics,combinatorics,‘A-Team’ of Math Proves a Critical Link Between Addition and Sets,"A team of four prominent mathematicians, including two Fields medalists, proved a conjecture described as a “holy grail of additive combinatorics.”",complex_systems_emergence,critical,https://www.quantamagazine.org/a-team-of-math-proves-a-critical-link-between-addition-and-sets-20231206/,
2023-12-04,Computer Science,computational complexity,An Easy-Sounding Problem Yields Numbers Too Big for Our Universe,Researchers prove that navigating certain systems of vectors is among the most complex computational problems.,complex_systems_emergence,complex;complexity,https://www.quantamagazine.org/an-easy-sounding-problem-yields-numbers-too-big-for-our-universe-20231204/,
2023-11-29,Biology,Quantized Columns,The New Quest to Control Evolution,Modern scientists aren’t content with predicting how life evolves. They want to shape it.,collective_biological_systems;ai_prediction_representation,evolution;predict,https://www.quantamagazine.org/the-new-quest-to-control-evolution-20231129/,
2023-11-28,Biology,evolution,Evolving Bacteria Can Evade Barriers to ‘Peak’ Fitness,"Paradoxically, natural selection can sometimes seem to block organisms from evolving useful adaptations. But a new study of “fitness landscapes” and antibiotic resistance in bacteria shows that life still finds a way.",collective_biological_systems,bacteria;evolution,https://www.quantamagazine.org/evolving-bacteria-can-evade-barriers-to-peak-fitness-20231128/,
2023-11-27,Physics,condensed matter physics,Meet Strange Metals: Where Electricity May Flow Without Electrons,"For 50 years, physicists have understood current as a flow of charged particles. But a new experiment has found that in at least one strange material, this understanding falls apart.",flow_transport_waves;human_social_mobility_proxy,city;flow,https://www.quantamagazine.org/meet-strange-metals-where-electricity-may-flow-without-electrons-20231127/,
2023-11-21,Biology,physiology,"In the Gut’s ‘Second Brain,’ Key Agents of Health Emerge","Sitting alongside the neurons in your enteric nervous system are underappreciated glial cells, which play key roles in digestion and disease that scientists are only just starting to understand.",collective_biological_systems;human_social_mobility_proxy,cell;cells;disease,https://www.quantamagazine.org/in-the-guts-second-brain-key-agents-of-health-emerge-20231121/,
2023-11-16,Mathematics,combinatorics,The Astonishing Behavior of Recursive Sequences,"Some strange mathematical sequences are always whole numbers — until they’re not. The puzzling patterns have revealed ties to graph theory and prime numbers, awing mathematicians.",networks_graphs_connectivity,graph,https://www.quantamagazine.org/the-astonishing-behavior-of-recursive-sequences-20231116/,
2023-11-14,Biology,immunology,"During Pregnancy, a Fake ‘Infection’ Protects the Fetus",Cells in the placenta have an unusual trick for activating gentle immune defenses and keeping them turned on when no infection is present. It involves crafting and deploying a fake virus.,collective_biological_systems,cell;cells,https://www.quantamagazine.org/during-pregnancy-a-fake-infection-protects-the-fetus-20231114/,
2023-11-08,Physics,Q&A,The Scientist Who Decodes the Songs of Undersea Volcanoes,"In the rumbles and groans of underwater volcanoes, Jackie Caplan-Auerbach finds her favorite harmonies — and clues to the Earth’s interior.",flow_transport_waves,volcano,https://www.quantamagazine.org/she-decodes-quakes-from-undersea-volcanoes-and-taylor-swift-20231108/,
2023-11-06,Computer Science,computer security,Cryptographers Solve Decades-Old Privacy Problem,"Three researchers have found a long-sought way to pull information from large databases secretly, moving us closer to fully private internet searches.",networks_graphs_connectivity,graph,https://www.quantamagazine.org/cryptographers-devise-an-approach-for-total-search-privacy-20231106/,
2023-11-02,Uncategorized,planetary science,These Moons Are Dark and Frozen. So How Can They Have Oceans?,The moons orbiting Jupiter and Saturn appear to have subsurface oceans — tantalizing targets in the search for life beyond Earth. But it’s not clear why these seas exist at all.,flow_transport_waves,ocean,https://www.quantamagazine.org/icy-oceans-exist-on-far-off-moons-why-arent-they-frozen-solid-20231102/,
2023-11-01,Mathematics,number theory,The Hidden Connection That Changed Number Theory,"Quadratic reciprocity lurks around many corners in mathematics. By proving it, number theorists reimagined their whole field.",networks_graphs_connectivity;human_social_mobility_proxy,city;connect,https://www.quantamagazine.org/the-hidden-connection-that-changed-number-theory-20231101/,
2023-10-31,Biology,neuroscience,Bats Use the Same Brain Cells to Map Physical and Social Worlds,"New research in social bats raises the intriguing possibility that evolution can reprogram the brain’s “place cells,” which are typically associated with location, to encode all kinds of environmental information.",collective_biological_systems,cell;cells;evolution,https://www.quantamagazine.org/bats-use-the-same-brain-cells-to-map-physical-and-social-worlds-20231031/,
2023-10-25,Biology,biophysics,Biophysicists Uncover Powerful Symmetries in Living Tissue,"After identifying interlocking symmetries in mammalian cells, scientists can describe some tissues as liquid crystals — an observation that lays the groundwork for a fluid-dynamic theory of how tissues move.",flow_transport_waves;collective_biological_systems,cell;cells;fluid,https://www.quantamagazine.org/biophysicists-uncover-powerful-symmetries-in-living-tissue-20231025/,
2023-10-23,Biology,evolution,Fossilized Molecules Reveal a Lost World of Ancient Life,"A new analysis of ancient sediments fills a gap in the fossil record — revealing a massive dynasty of ancient eukaryotes, which may have reigned for 800 million years and shaped the history of life of Earth.",collective_biological_systems,evolution,https://www.quantamagazine.org/fossilized-molecules-reveal-a-lost-world-of-ancient-life-20231023/,
2023-10-18,Biology,neuroscience,These Cells Spark Electricity in the Brain. They’re Not Neurons.,"For decades, researchers have debated whether brain cells called astrocytes can signal like neurons. Researchers recently published the best evidence yet that some astrocytes are part of the electrical conversation.",collective_biological_systems;human_social_mobility_proxy,cell;cells;city,https://www.quantamagazine.org/these-cells-spark-electricity-in-the-brain-theyre-not-neurons-20231018/,
2023-10-12,Mathematics,Langlands program,Echoes of Electromagnetism Found in Number Theory,A new magnum opus posits the existence of a hidden mathematical link akin to the connection between electricity and magnetism.,networks_graphs_connectivity;human_social_mobility_proxy,city;connect,https://www.quantamagazine.org/echoes-of-electromagnetism-found-in-number-theory-20231012/,
2023-10-10,Biology,chronobiology,"In Our Cellular Clocks, She’s Found a Lifetime of Discoveries","For decades, Carrie Partch has led pioneering structural research on the protein clockwork that keeps time for our circadian rhythm. Is time still on her side?",collective_biological_systems,cell,https://www.quantamagazine.org/in-our-cellular-clocks-shes-found-a-lifetime-of-discoveries-20231010/,
2023-10-05,Uncategorized,neural networks,Tiny Language Models Come of Age,"To better understand how neural networks learn to simulate writing, researchers trained simpler versions on synthetic children’s stories.",networks_graphs_connectivity;ai_prediction_representation,model;models;network;networks;neural network;neural networks,https://www.quantamagazine.org/tiny-language-models-thrive-with-gpt-4-as-a-teacher-20231005/,
2023-09-26,Biology,genomics,"To Defend the Genome, These Cells Destroy Their Own DNA","Under a microscope, cells in a worm embryo deliberately eliminated one-third of their genome — an uncompromising tactic that may combat harmful genetic parasites.",collective_biological_systems,cell;cells,https://www.quantamagazine.org/to-defend-the-genome-these-cells-destroy-their-own-dna-20230926/,
2023-09-19,Computer Science,neural networks,The Physical Process That Powers a New Type of Generative AI,Some modern image generators rely on the principles of diffusion to create images. Alternatives based on the process behind the distribution of charged particles may yield even better results.,flow_transport_waves;networks_graphs_connectivity;ai_prediction_representation,diffusion;network;networks;neural network;neural networks,https://www.quantamagazine.org/new-physics-inspired-generative-ai-exceeds-expectations-20230919/,
2023-09-18,Biology,developmental biology,What Makes Life Tick? Mitochondria May Keep Time for Cells,"Every species develops at its own unique tempo, leaving scientists to wonder what governs their timing. A suite of new findings suggests that cells use basic metabolic processes as clocks.",collective_biological_systems,cell;cells,https://www.quantamagazine.org/what-makes-life-tick-mitochondria-may-keep-time-for-cells-20230918/,
2023-09-14,Computer Science,quantum computing,Machine Learning Aids Classical Modeling of Quantum Systems,"By using “classical shadows,” ordinary computers can beat quantum computers at the tricky task of understanding quantum behaviors.",ai_prediction_representation,machine learning;model,https://www.quantamagazine.org/machine-learning-aids-classical-modeling-of-quantum-systems-20230914/,
2023-09-11,Physics,quantum physics,Physicists Observe ‘Unobservable’ Quantum Phase Transition,Measurement and entanglement both have a “spooky” nonlocal flavor to them. Now physicists are harnessing that nonlocality to probe the spread of quantum information and control it.,complex_systems_emergence,phase transition,https://www.quantamagazine.org/physicists-observe-unobservable-quantum-phase-transition-20230911/,
2023-09-07,Uncategorized,explainers,How Scientists Are Tackling the Tricky Task of Solar Cycle Prediction,Scientists have struggled to accurately forecast the strength of the sun’s 11-year cycle — even after centuries of solar observations.,ai_prediction_representation,predict;prediction,https://www.quantamagazine.org/how-scientists-are-tackling-the-tricky-task-of-solar-cycle-prediction-20230907/,
2023-08-28,Biology,Quantized Columns,The Hidden Brain Connections Between Our Hands and Tongues,Sticking out your tongue while doing delicate work with your hands reveals a history of evolutionary relationships.,networks_graphs_connectivity;collective_biological_systems,connect;evolution,https://www.quantamagazine.org/the-hidden-brain-connections-between-our-hands-and-tongues-20230828/,
2023-08-23,Computer Science,artificial intelligence,The AI Tools Making Images Look Better,Researchers have discovered ways around a fundamental trade-off between accuracy and beauty in digital images.,ai_prediction_representation,artificial intelligence,https://www.quantamagazine.org/the-ai-tools-making-images-look-better-20230823/,
2023-08-21,Physics,astrophysics,Quaking Giants Might Solve the Mysteries of Stellar Magnetism,"In their jiggles and shakes, red giant stars encode a record of the magnetic fields near their cores.",collective_biological_systems,ants,https://www.quantamagazine.org/quaking-giants-might-solve-the-mysteries-of-stellar-magnetism-20230821/,
2023-08-17,Computer Science,computational complexity,Complexity Theory’s 50-Year Journey to the Limits of Knowledge,How hard is it to prove that problems are hard to solve? Meta-complexity theorists have been asking questions like this for decades. A string of recent results has started to deliver answers.,complex_systems_emergence,complex;complexity,https://www.quantamagazine.org/complexity-theorys-50-year-journey-to-the-limits-of-knowledge-20230817/,
2023-08-15,Biology,Q&A,Andreas Wagner Pursues the Secrets to Evolutionary Success,"Why did mammals, grasses and some other groups of organisms explode in diversity only after millions of years? The evolutionary biologist Andreas Wagner plumbs the secrets of those “sleeping beauties.”",collective_biological_systems,evolution,https://www.quantamagazine.org/andreas-wagner-pursues-the-secrets-to-evolutionary-success-20230815/,
2023-08-09,Biology,evolution,Even Synthetic Life Forms With a Tiny Genome Can Evolve,"By watching “minimal” cells regain the fitness they lost, researchers are testing whether a genome can be too simple to evolve.",collective_biological_systems,cell;cells;evolution,https://www.quantamagazine.org/even-synthetic-life-forms-with-a-tiny-genome-can-evolve-20230809/,
2023-08-02,Physics,theoretical physics,Quantum Complexity Shows How to Escape Hawking’s Black Hole Paradox,"Inside of a black hole, the two theoretical pillars of 20th-century physics appear to clash. Now a group of young physicists think they have resolved the conflict by appealing to the central pillar of the new century — the physics of quantum information.",complex_systems_emergence,complex;complexity,https://www.quantamagazine.org/new-calculations-show-how-to-escape-hawkings-black-hole-paradox-20230802/,
2023-07-27,Computer Science,Q&A,The Cryptographer Who Ensures We Can Trust Our Computers,"Yael Tauman Kalai’s breakthroughs secure our digital world, from cloud computing to our quantum future.",flow_transport_waves;networks_graphs_connectivity,cloud;graph,https://www.quantamagazine.org/the-cryptographer-who-ensures-we-can-trust-our-computers-20230727/,
2023-07-24,Mathematics,graph theory,New Proof Shows That ‘Expander’ Graphs Synchronize,The proof establishes new conditions that cause connected oscillators to sway in sync.,networks_graphs_connectivity,connect;connected;graph;graphs,https://www.quantamagazine.org/new-proof-shows-that-expander-graphs-synchronize-20230724/,
2023-07-21,Mathematics,Quantized Academy,Math That Lets You Think Locally but Act Globally,Knowing a little about the local connections on flight maps and other networks can reveal a lot about a system’s global structure.,networks_graphs_connectivity,connect;network;networks,https://www.quantamagazine.org/math-that-lets-you-think-locally-but-act-globally-20230721/,
2023-07-18,Physics,geophysics,How Quantum Physicists Explained Earth’s Oscillating Weather Patterns,By treating Earth as a topological insulator — a state of quantum matter — physicists found a powerful explanation for the movements of the planet’s air and seas.,flow_transport_waves,geophysics;weather,https://www.quantamagazine.org/how-quantum-physics-describes-earths-weather-patterns-20230718/,
2023-07-17,Biology,microbiology,Underground Cells Make ‘Dark Oxygen’ Without Light,"In some deep subterranean aquifers, cells have a chemical trick for making oxygen that could sustain whole underground ecosystems.",collective_biological_systems,cell;cells,https://www.quantamagazine.org/underground-cells-make-dark-oxygen-without-light-20230717/,
2023-07-13,Computer Science,algorithms,How to Build a Big Prime Number,A new algorithm brings together the advantages of randomness and deterministic processes to reliably construct large prime numbers.,randomness_statistical_physics,random;randomness,https://www.quantamagazine.org/how-to-build-a-big-prime-number-20230713/,
2023-07-12,Mathematics,The Joy of Why,Can Math and Physics Save an Arrhythmic Heart?,"Abnormal waves of electrical activity can cause a heart’s muscle cells to beat out of sync. In this episode, Flavio Fenton, an expert in cardiac dynamics, talks with Steve Strogatz about ways to treat heart arrhythmias without resorting to painful defibrillators.",flow_transport_waves;collective_biological_systems,cell;cells;wave;waves,https://www.quantamagazine.org/can-math-and-physics-save-an-arrhythmic-heart-20230712/,
2023-06-28,Physics,gravitational waves,An Enormous Gravity ‘Hum’ Moves Through the Universe,Astronomers have found a background din of exceptionally long-wavelength gravitational waves pervading the cosmos.,flow_transport_waves,wave;waves,https://www.quantamagazine.org/an-enormous-gravity-hum-moves-through-the-universe-20230628/,
2023-06-28,Mathematics,The Joy of Why,What Can Jellyfish Teach Us About Fluid Dynamics?,"Jellyfish and other aquatic creatures embody solutions to diverse problems in engineering, medicine and mathematics. John Dabiri, a fluid dynamics expert, talks with Steven Strogatz about what jellyfish can teach us about going with the flow.",flow_transport_waves,flow;fluid,https://www.quantamagazine.org/what-can-jellyfish-teach-us-about-fluid-dynamics-20230628/,
2023-06-26,Biology,ecology,The Key to Species Diversity May Be in Their Similarities,New modeling work suggests why nature is more diverse than niche-based ecological theory predicts.,collective_biological_systems;ai_prediction_representation,ecology;model;predict,https://www.quantamagazine.org/the-key-to-species-diversity-may-be-in-their-similarities-20230626/,
2023-06-23,Computer Science,computational complexity,Computer Scientists Inch Closer to Major Algorithmic Goal,A new paper finds a faster method for determining when two mathematical groups are the same.,complex_systems_emergence,complex;complexity,https://www.quantamagazine.org/computer-scientists-inch-closer-to-major-algorithmic-goal-20230623/,
2023-06-22,Mathematics,graph theory,Mathematicians Discover Novel Way to Predict Structure in Graphs,Mathematicians probe the limits of randomness in new work estimating quantities called Ramsey numbers.,networks_graphs_connectivity;randomness_statistical_physics;ai_prediction_representation,graph;graphs;predict;random;randomness,https://www.quantamagazine.org/mathematicians-discover-new-way-to-predict-structure-in-graphs-20230622/,
2023-06-21,Mathematics,materials science,The Simple Geometry That Predicts Molecular Mosaics,"By treating molecules as geometric tessellations, scientists devised a new way to forecast how 2D materials might self-assemble.",ai_prediction_representation,predict,https://www.quantamagazine.org/the-simple-geometry-that-predicts-molecular-mosaics-20230621/,
2023-06-16,Computer Science,artificial intelligence,Neural Networks Need Data to Learn. Even If It’s Fake.,"Real data can be hard to get, so researchers are turning to synthetic data to train their artificial intelligence systems.",networks_graphs_connectivity;ai_prediction_representation,artificial intelligence;network;networks;neural network;neural networks,https://www.quantamagazine.org/neural-networks-need-data-to-learn-even-if-its-fake-20230616/,
